1001,1,10032100,2017-12-31,2018-01-02,250000,0
1002,2,10032101,2017-12-31,2018-01-02,250000,1
1003,3,10032102,2017-12-31,2018-01-02,250000,0
1004,4,10032103,2017-12-31,2018-01-02,250000,0
1005,5,10032104,2017-12-31,2018-01-02,250000,0
1006,6,10032105,2017-12-31,2018-01-02,50000,0
1007,7,10032106,2017-12-31,2018-01-02,50000,0
1008,8,10032107,2017-12-31,2018-01-02,50000,0
1009,9,10032108,2017-12-31,2018-01-02,50000,0
1010,10,10032114,2017-12-31,2018-01-02,50000,0
1011,11,10032114,2017-12-31,2018-01-02,50000,1
1012,12,10032102,2017-12-31,2018-01-02,35026,1
1013,13,10032111,2018-01-08,2018-01-15,35026,1
1014,14,10032111,2018-01-08,2018-01-15,35026,1
1015,15,10032104,2018-01-08,2018-01-15,35026,0
1016,1,10032112,2018-01-08,2018-01-15,550000,0
1017,2,10032101,2018-01-08,2018-01-15,550000,0
1018,3,10032102,2018-01-08,2018-01-15,550000,0
1019,4,10032111,2018-01-08,2018-01-15,550000,0
1020,5,10032104,2018-01-08,2018-01-15,550000,0
1021,6,10032109,2018-01-08,2018-01-15,550000,0
1022,7,10032106,2017-11-30,2018-01-15,550000,0
1023,8,10032107,2017-11-30,2018-01-15,35026,0
1024,9,10032110,2017-11-30,2018-01-15,35026,0
1025,10,10032114,2017-11-30,2018-01-15,35026,0
1026,11,10032114,2017-11-30,2018-01-15,35026,0
1027,12,10032102,2017-11-30,2017-12-31,35026,1
1028,13,10032111,2017-11-30,2017-12-31,550000,1
1029,14,10032111,2017-11-30,2017-12-31,550000,1
1030,15,10032104,2017-11-30,2017-12-31,550000,1
1031,1,10032112,2017-11-30,2017-12-31,550000,1
1032,2,10032101,2018-01-08,2018-01-15,550000,1
1033,3,10032102,2018-01-08,2018-01-15,550000,1
1034,4,10032111,2018-01-08,2018-01-15,550000,1
1035,5,10032104,2018-01-08,2018-01-15,123456,0
1036,6,10032109,2018-01-08,2018-01-15,123456,0
1037,7,10032106,2018-01-08,2018-01-15,123456,0
1038,8,10032107,2018-01-08,2018-01-15,123456,0
1039,9,10032110,2018-01-08,2018-01-15,123456,0
1040,10,10032114,2018-01-08,2018-01-15,123456,0
1041,11,10032114,2018-01-08,2018-01-15,550000,0
1042,12,10032102,2018-01-08,2018-01-15,550000,0
1043,13,10032111,2018-01-08,2018-01-15,4572221,0
1044,14,10032111,2018-01-08,2018-01-15,4572221,0
1045,15,10032104,2018-01-08,2018-01-15,4572221,0
1046,1,10032112,2018-01-08,2018-01-15,123456,0
1047,2,10032101,2018-01-08,2018-01-15,123456,0
1048,3,10032102,2018-01-08,2018-01-15,35026,0
1049,4,10032111,2018-01-08,2018-01-15,35026,0
1050,5,10032104,2018-01-08,2018-01-15,35026,0
1051,6,10032109,2018-01-08,2018-01-15,35026,0
1052,7,10032106,2018-01-08,2018-01-25,35026,0
1053,8,10032107,2018-01-08,2018-01-25,35026,1
1054,9,10032110,2018-01-08,2018-01-25,35026,1
1055,10,10032114,2018-01-08,2018-01-25,35026,1
1056,11,10032114,2017-11-30,2018-01-25,35026,0
1057,12,10032102,2017-11-30,2018-01-15,250000,0
1058,13,10032111,2017-11-30,2018-01-15,250000,0
1059,14,10032111,2017-11-30,2018-01-15,250000,1
1060,15,10032104,2017-11-30,2018-01-15,250000,1
1061,1,10032112,2017-11-30,2018-01-15,250000,1
1062,2,10032101,2017-11-30,2018-01-15,250000,1
1063,3,10032102,2017-11-30,2018-01-15,250000,1
1064,4,10032111,2017-11-30,2018-01-15,250000,0
1065,5,10032104,2017-11-30,2018-01-15,250000,0
1066,6,10032109,2017-11-30,2018-01-15,250000,0
1067,7,10032106,2017-11-30,2018-01-15,250000,0
1068,8,10032107,2017-11-30,2018-01-15,4572221,0
1069,9,10032110,2017-11-30,2018-01-15,4572221,0
1070,10,10032114,2017-11-30,2018-01-15,35026,0
1071,11,10032114,2017-11-30,2018-01-15,35026,0
1072,12,10032102,2017-11-30,2018-01-15,35026,0
1073,13,10032111,2017-11-30,2018-01-15,35026,0
1074,14,10032111,2017-11-30,2018-01-15,35026,0
1075,15,10032104,2017-11-30,2018-01-15,35026,0
1076,5,10032104,2018-02-01,2018-01-15,35026,0
1077,3,10032102,2018-02-01,2018-02-03,4572221,0
1078,10,10032114,2018-02-01,2018-02-03,4572221,0
